'Time','ECG'
'hh:mm:ss.mmm','mV'
'[11:30:00.000]',-0.215
'[11:30:00.008]',-0.195
'[11:30:00.016]',-0.185
'[11:30:00.023]',-0.175
'[11:30:00.031]',-0.185
'[11:30:00.039]',-0.145
'[11:30:00.047]',-0.125
'[11:30:00.055]',-0.095
'[11:30:00.063]',-0.055
'[11:30:00.070]',-0.025
'[11:30:00.078]',0.025
'[11:30:00.086]',0.075
'[11:30:00.094]',0.105
'[11:30:00.102]',0.155
'[11:30:00.109]',0.175
'[11:30:00.117]',0.195
'[11:30:00.125]',0.215
'[11:30:00.133]',0.215
'[11:30:00.141]',0.165
'[11:30:00.148]',0.105
'[11:30:00.156]',0.045
'[11:30:00.164]',0.005
'[11:30:00.172]',-0.045
'[11:30:00.180]',-0.075
'[11:30:00.188]',-0.085
'[11:30:00.195]',-0.115
'[11:30:00.203]',-0.115
'[11:30:00.211]',-0.125
'[11:30:00.219]',-0.115
'[11:30:00.227]',-0.115
'[11:30:00.234]',-0.105
'[11:30:00.242]',-0.105
'[11:30:00.250]',-0.095
'[11:30:00.258]',-0.065
'[11:30:00.266]',-0.035
'[11:30:00.273]',-0.025
'[11:30:00.281]',-0.005
'[11:30:00.289]',0.035
'[11:30:00.297]',0.115
'[11:30:00.305]',0.155
'[11:30:00.313]',0.155
'[11:30:00.320]',0.155
'[11:30:00.328]',0.115
'[11:30:00.336]',0.065
'[11:30:00.344]',0.015
'[11:30:00.352]',-0.035
'[11:30:00.359]',-0.085
'[11:30:00.367]',-0.115
'[11:30:00.375]',-0.115
'[11:30:00.383]',-0.105
'[11:30:00.391]',-0.105
'[11:30:00.398]',-0.285
'[11:30:00.406]',-0.515
'[11:30:00.414]',-0.315
'[11:30:00.422]',0.315
'[11:30:00.430]',0.835
'[11:30:00.438]',0.605
'[11:30:00.445]',0.145
'[11:30:00.453]',-0.145
'[11:30:00.461]',-0.215
'[11:30:00.469]',-0.185
'[11:30:00.477]',-0.105
'[11:30:00.484]',-0.055
'[11:30:00.492]',-0.025
'[11:30:00.500]',-0.025
'[11:30:00.508]',-0.025
'[11:30:00.516]',-0.005
'[11:30:00.523]',0.005
'[11:30:00.531]',0.025
'[11:30:00.539]',0.045
'[11:30:00.547]',0.055
'[11:30:00.555]',0.075
'[11:30:00.563]',0.085
'[11:30:00.570]',0.125
'[11:30:00.578]',0.145
'[11:30:00.586]',0.175
'[11:30:00.594]',0.195
'[11:30:00.602]',0.235
'[11:30:00.609]',0.275
'[11:30:00.617]',0.325
'[11:30:00.625]',0.365
'[11:30:00.633]',0.405
'[11:30:00.641]',0.435
'[11:30:00.648]',0.455
'[11:30:00.656]',0.455
'[11:30:00.664]',0.455
'[11:30:00.672]',0.445
'[11:30:00.680]',0.405
'[11:30:00.688]',0.365
'[11:30:00.695]',0.315
'[11:30:00.703]',0.285
'[11:30:00.711]',0.235
'[11:30:00.719]',0.215
'[11:30:00.727]',0.225
'[11:30:00.734]',0.215
'[11:30:00.742]',0.215
'[11:30:00.750]',0.215
'[11:30:00.758]',0.235
'[11:30:00.766]',0.235
'[11:30:00.773]',0.215
'[11:30:00.781]',0.215
'[11:30:00.789]',0.225
'[11:30:00.797]',0.245
'[11:30:00.805]',0.285
'[11:30:00.813]',0.305
'[11:30:00.820]',0.345
'[11:30:00.828]',0.355
'[11:30:00.836]',0.395
'[11:30:00.844]',0.405
'[11:30:00.852]',0.425
'[11:30:00.859]',0.405
'[11:30:00.867]',0.375
'[11:30:00.875]',0.355
'[11:30:00.883]',0.295
'[11:30:00.891]',0.245
'[11:30:00.898]',0.205
'[11:30:00.906]',0.175
'[11:30:00.914]',0.165
'[11:30:00.922]',0.195
'[11:30:00.930]',0.115
'[11:30:00.938]',-0.155
'[11:30:00.945]',-0.185
'[11:30:00.953]',0.295
'[11:30:00.961]',0.935
'[11:30:00.969]',0.925
'[11:30:00.977]',0.375
'[11:30:00.984]',0.065
'[11:30:00.992]',0.065
'[11:30:01.000]',0.115
'[11:30:01.008]',0.145
'[11:30:01.016]',0.165
'[11:30:01.023]',0.145
'[11:30:01.031]',0.165
'[11:30:01.039]',0.175
'[11:30:01.047]',0.175
'[11:30:01.055]',0.175
'[11:30:01.063]',0.185
'[11:30:01.070]',0.215
'[11:30:01.078]',0.225
'[11:30:01.086]',0.225
'[11:30:01.094]',0.235
'[11:30:01.102]',0.265
'[11:30:01.109]',0.275
'[11:30:01.117]',0.305
'[11:30:01.125]',0.325
'[11:30:01.133]',0.355
'[11:30:01.141]',0.385
'[11:30:01.148]',0.415
'[11:30:01.156]',0.445
'[11:30:01.164]',0.505
'[11:30:01.172]',0.535
'[11:30:01.180]',0.555
'[11:30:01.188]',0.565
'[11:30:01.195]',0.575
'[11:30:01.203]',0.545
'[11:30:01.211]',0.475
'[11:30:01.219]',0.415
'[11:30:01.227]',0.375
'[11:30:01.234]',0.325
'[11:30:01.242]',0.305
'[11:30:01.250]',0.275
'[11:30:01.258]',0.255
'[11:30:01.266]',0.245
'[11:30:01.273]',0.235
'[11:30:01.281]',0.225
'[11:30:01.289]',0.235
'[11:30:01.297]',0.245
'[11:30:01.305]',0.245
'[11:30:01.313]',0.255
'[11:30:01.320]',0.245
'[11:30:01.328]',0.255
'[11:30:01.336]',0.285
'[11:30:01.344]',0.305
'[11:30:01.352]',0.325
'[11:30:01.359]',0.345
'[11:30:01.367]',0.415
'[11:30:01.375]',0.435
'[11:30:01.383]',0.435
'[11:30:01.391]',0.415
'[11:30:01.398]',0.365
'[11:30:01.406]',0.345
'[11:30:01.414]',0.275
'[11:30:01.422]',0.225
'[11:30:01.430]',0.155
'[11:30:01.438]',0.145
'[11:30:01.445]',0.125
'[11:30:01.453]',0.115
'[11:30:01.461]',0.105
'[11:30:01.469]',-0.115
'[11:30:01.477]',-0.345
'[11:30:01.484]',-0.145
'[11:30:01.492]',0.545
'[11:30:01.500]',1.035
'[11:30:01.508]',0.655
'[11:30:01.516]',0.105
'[11:30:01.523]',-0.075
'[11:30:01.531]',-0.015
'[11:30:01.539]',0.055
'[11:30:01.547]',0.095
'[11:30:01.555]',0.105
'[11:30:01.563]',0.105
'[11:30:01.570]',0.115
'[11:30:01.578]',0.105
'[11:30:01.586]',0.105
'[11:30:01.594]',0.115
'[11:30:01.602]',0.135
'[11:30:01.609]',0.145
'[11:30:01.617]',0.145
'[11:30:01.625]',0.165
'[11:30:01.633]',0.185
'[11:30:01.641]',0.205
'[11:30:01.648]',0.215
'[11:30:01.656]',0.225
'[11:30:01.664]',0.265
'[11:30:01.672]',0.305
'[11:30:01.680]',0.335
'[11:30:01.688]',0.385
'[11:30:01.695]',0.425
'[11:30:01.703]',0.455
'[11:30:01.711]',0.465
'[11:30:01.719]',0.475
'[11:30:01.727]',0.505
'[11:30:01.734]',0.475
'[11:30:01.742]',0.435
'[11:30:01.750]',0.375
'[11:30:01.758]',0.285
'[11:30:01.766]',0.225
'[11:30:01.773]',0.165
'[11:30:01.781]',0.155
'[11:30:01.789]',0.155
'[11:30:01.797]',0.135
'[11:30:01.805]',0.145
'[11:30:01.813]',0.145
'[11:30:01.820]',0.145
'[11:30:01.828]',0.125
'[11:30:01.836]',0.115
'[11:30:01.844]',0.115
'[11:30:01.852]',0.125
'[11:30:01.859]',0.145
'[11:30:01.867]',0.185
'[11:30:01.875]',0.185
'[11:30:01.883]',0.235
'[11:30:01.891]',0.255
'[11:30:01.898]',0.305
'[11:30:01.906]',0.315
'[11:30:01.914]',0.325
'[11:30:01.922]',0.295
'[11:30:01.930]',0.255
'[11:30:01.938]',0.225
'[11:30:01.945]',0.155
'[11:30:01.953]',0.095
'[11:30:01.961]',0.005
'[11:30:01.969]',-0.005
'[11:30:01.977]',-0.015
'[11:30:01.984]',-0.015
'[11:30:01.992]',-0.015
'[11:30:02.000]',-0.295
'[11:30:02.008]',-0.455
'[11:30:02.016]',-0.205
'[11:30:02.023]',0.465
'[11:30:02.031]',0.865
'[11:30:02.039]',0.475
'[11:30:02.047]',-0.035
'[11:30:02.055]',-0.195
'[11:30:02.063]',-0.175
'[11:30:02.070]',-0.095
'[11:30:02.078]',-0.035
'[11:30:02.086]',-0.015
'[11:30:02.094]',-0.035
'[11:30:02.102]',-0.035
'[11:30:02.109]',-0.015
'[11:30:02.117]',0.005
'[11:30:02.125]',-0.005
'[11:30:02.133]',0.005
'[11:30:02.141]',0.015
'[11:30:02.148]',0.015
'[11:30:02.156]',0.015
'[11:30:02.164]',0.045
'[11:30:02.172]',0.045
'[11:30:02.180]',0.065
'[11:30:02.188]',0.105
'[11:30:02.195]',0.135
'[11:30:02.203]',0.135
'[11:30:02.211]',0.175
'[11:30:02.219]',0.235
'[11:30:02.227]',0.295
'[11:30:02.234]',0.325
'[11:30:02.242]',0.355
'[11:30:02.250]',0.365
'[11:30:02.258]',0.365
'[11:30:02.266]',0.335
'[11:30:02.273]',0.295
'[11:30:02.281]',0.225
'[11:30:02.289]',0.175
'[11:30:02.297]',0.095
'[11:30:02.305]',0.045
'[11:30:02.313]',0.015
'[11:30:02.320]',-0.005
'[11:30:02.328]',-0.035
'[11:30:02.336]',-0.035
'[11:30:02.344]',-0.045
'[11:30:02.352]',-0.045
'[11:30:02.359]',-0.045
'[11:30:02.367]',-0.045
'[11:30:02.375]',-0.045
'[11:30:02.383]',-0.045
'[11:30:02.391]',-0.035
'[11:30:02.398]',-0.025
'[11:30:02.406]',0.005
'[11:30:02.414]',0.045
'[11:30:02.422]',0.085
'[11:30:02.430]',0.115
'[11:30:02.438]',0.135
'[11:30:02.445]',0.135
'[11:30:02.453]',0.105
'[11:30:02.461]',0.045
'[11:30:02.469]',-0.005
'[11:30:02.477]',-0.065
'[11:30:02.484]',-0.115
'[11:30:02.492]',-0.175
'[11:30:02.500]',-0.195
'[11:30:02.508]',-0.195
'[11:30:02.516]',-0.205
'[11:30:02.523]',-0.325
'[11:30:02.531]',-0.555
'[11:30:02.539]',-0.455
'[11:30:02.547]',0.035
'[11:30:02.555]',0.545
'[11:30:02.563]',0.515
'[11:30:02.570]',0.165
'[11:30:02.578]',-0.215
'[11:30:02.586]',-0.385
'[11:30:02.594]',-0.385
'[11:30:02.602]',-0.295
'[11:30:02.609]',-0.255
'[11:30:02.617]',-0.215
'[11:30:02.625]',-0.225
'[11:30:02.633]',-0.225
'[11:30:02.641]',-0.225
'[11:30:02.648]',-0.215
'[11:30:02.656]',-0.215
'[11:30:02.664]',-0.195
'[11:30:02.672]',-0.195
'[11:30:02.680]',-0.185
'[11:30:02.688]',-0.175
'[11:30:02.695]',-0.165
'[11:30:02.703]',-0.145
'[11:30:02.711]',-0.135
'[11:30:02.719]',-0.095
'[11:30:02.727]',-0.075
'[11:30:02.734]',-0.015
'[11:30:02.742]',0.025
'[11:30:02.750]',0.055
'[11:30:02.758]',0.105
'[11:30:02.766]',0.125
'[11:30:02.773]',0.135
'[11:30:02.781]',0.145
'[11:30:02.789]',0.125
'[11:30:02.797]',0.095
'[11:30:02.805]',0.045
'[11:30:02.813]',-0.015
'[11:30:02.820]',-0.045
'[11:30:02.828]',-0.125
'[11:30:02.836]',-0.185
'[11:30:02.844]',-0.195
'[11:30:02.852]',-0.195
'[11:30:02.859]',-0.215
'[11:30:02.867]',-0.215
'[11:30:02.875]',-0.215
'[11:30:02.883]',-0.225
'[11:30:02.891]',-0.225
'[11:30:02.898]',-0.235
'[11:30:02.906]',-0.215
'[11:30:02.914]',-0.195
'[11:30:02.922]',-0.175
'[11:30:02.930]',-0.155
'[11:30:02.938]',-0.135
'[11:30:02.945]',-0.105
'[11:30:02.953]',-0.055
'[11:30:02.961]',-0.035
'[11:30:02.969]',-0.035
'[11:30:02.977]',-0.015
'[11:30:02.984]',-0.045
'[11:30:02.992]',-0.085
'[11:30:03.000]',-0.115
'[11:30:03.008]',-0.205
'[11:30:03.016]',-0.275
'[11:30:03.023]',-0.315
'[11:30:03.031]',-0.345
'[11:30:03.039]',-0.335
'[11:30:03.047]',-0.335
'[11:30:03.055]',-0.465
'[11:30:03.063]',-0.735
'[11:30:03.070]',-0.685
'[11:30:03.078]',-0.135
'[11:30:03.086]',0.535
'[11:30:03.094]',0.585
'[11:30:03.102]',0.045
'[11:30:03.109]',-0.405
'[11:30:03.117]',-0.515
'[11:30:03.125]',-0.475
'[11:30:03.133]',-0.405
'[11:30:03.141]',-0.365
'[11:30:03.148]',-0.365
'[11:30:03.156]',-0.365
'[11:30:03.164]',-0.335
'[11:30:03.172]',-0.315
'[11:30:03.180]',-0.315
'[11:30:03.188]',-0.285
'[11:30:03.195]',-0.275
'[11:30:03.203]',-0.275
'[11:30:03.211]',-0.265
'[11:30:03.219]',-0.255
'[11:30:03.227]',-0.235
'[11:30:03.234]',-0.215
'[11:30:03.242]',-0.195
'[11:30:03.250]',-0.145
'[11:30:03.258]',-0.105
'[11:30:03.266]',-0.065
'[11:30:03.273]',-0.035
'[11:30:03.281]',0.005
'[11:30:03.289]',0.055
'[11:30:03.297]',0.085
'[11:30:03.305]',0.105
'[11:30:03.313]',0.115
'[11:30:03.320]',0.095
'[11:30:03.328]',0.045
'[11:30:03.336]',-0.005
'[11:30:03.344]',-0.075
'[11:30:03.352]',-0.115
'[11:30:03.359]',-0.155
'[11:30:03.367]',-0.175
'[11:30:03.375]',-0.205
'[11:30:03.383]',-0.235
'[11:30:03.391]',-0.225
'[11:30:03.398]',-0.235
'[11:30:03.406]',-0.235
'[11:30:03.414]',-0.235
'[11:30:03.422]',-0.225
'[11:30:03.430]',-0.225
'[11:30:03.438]',-0.215
'[11:30:03.445]',-0.185
'[11:30:03.453]',-0.155
'[11:30:03.461]',-0.155
'[11:30:03.469]',-0.115
'[11:30:03.477]',-0.055
'[11:30:03.484]',-0.005
'[11:30:03.492]',-0.015
'[11:30:03.500]',-0.015
'[11:30:03.508]',-0.045
'[11:30:03.516]',-0.085
'[11:30:03.523]',-0.135
'[11:30:03.531]',-0.205
'[11:30:03.539]',-0.245
'[11:30:03.547]',-0.305
'[11:30:03.555]',-0.325
